factor,reference_mapper,q1_initial_syncing,q1_lazy_syncing,q1_initialization,q1_back_propagation,q2_initial_syncing,q2_lazy_syncing,q2_initialization,q2_back_propagation,q3_initial_syncing,q3_lazy_syncing,q3_initialization,q3_back_propagation
00_0625,16.31612888,0.864155716,0.050589499,0.914745214,0.093771033,21.37349261,44.58454664,65.95803926,0,23.68538731,56.60745214,80.29283945,0.459263711
00_125,26.00486786,0.849399782,0.059834651,0.909234433,0.115882942,33.01395264,70.07548507,103.0894377,0,35.01032183,87.77403542,122.7843573,0.710363314
00_25,58.65177762,1.498855936,0.056295462,1.555151398,0.105959481,68.46053216,146.8027606,215.2632927,0,73.89946259,179.9612679,253.8607304,1.507679432
00_5,122.1229863,1.579701806,0.04702939,1.626731196,0.095093323,144.4503791,315.5952683,460.0456474,0,155.123172,377.7494344,532.8726064,3.96464391
1,248.1035854,0.998738944,0.112201122,1.110940067,0.140722078,307.1090924,656.0676076,963.1767,0,334.1068524,802.6639501,1136.770803,10.02022716
2,533.9629089,5.550782533,0.106270889,5.657053422,0.162131744,641.663987,1310.272576,1951.936563,0,602.0594122,1728.229717,2330.289129,23.94510417
4,1210.366793,14.21531752,0.121841178,14.3371587,0.190970656,1212.257101,2418.824335,3631.081437,0,1204.053534,3721.379177,4925.432711,41.20413257
8,3120.277605,17.52351142,0.121956744,17.64546817,0.1541098,3107.366579,7166.871542,10274.23812,0,4088.303251,7864.247227,11952.55048,50.37459253
16,7169.264119,34.53956867,0.519794444,35.05936311,0.289116,8982.500623,23228.23435,32210.73498,0,10122.94129,24745.72807,34868.66935,114.0578121
