factor,q1_fetch,q1_sql,q1_java_1st,q1_java_2nd,q1_lazy_1st,q1_lazy_2nd,q2_fetch,q2_sql,q2_java_1st,q2_java_2nd,q2_lazy_1st,q2_lazy_2nd,q3_fetch,q3_sql,q3_java_1st,q3_java_2nd,q3_lazy_1st,q3_lazy_2nd
00_0625,17.05271481,16.85803572,7.90E-04,7.88E-04,0.051744461,0.001154962,177.5085485,23.11538427,10.85310755,10.77686554,60.11524336,15.53069672,387.1437417,73.39171726,4.082583359,3.483810612,66.26419405,9.656741914
00_125,24.26816026,23.99458537,8.10E-04,8.00E-04,0.061131078,0.001296427,253.699093,33.67277779,17.37172602,17.03022545,94.9735455,24.89806042,588.4785108,109.1274818,6.553260689,6.042619732,102.3806443,14.60660892
00_25,45.62764412,45.45363299,5.93E-04,4.79E-04,0.057372374,0.001076912,524.5730508,66.23275087,36.54978861,36.31299124,196.1831563,49.38039576,1190.792686,220.1262523,13.36609888,14.17298684,211.1965626,31.2352947
00_5,89.41784829,89.23081218,8.16E-04,5.90E-04,0.04827339,0.001244,1091.625964,130.843468,78.37535046,76.46729544,420.7005549,105.1052866,2499.659027,444.7626209,33.85323336,35.99685881,450.1657405,72.41630612
1,203.5109611,203.1054096,9.05E-04,9.84E-04,0.1150406,0.002839478,2336.26145,286.391969,157.3266131,193.2381233,877.8839286,221.8163209,5563.699747,964.7613627,76.86061536,79.06867393,945.702004,143.0380539
2,406.8907817,407.1936396,0.001038033,0.001225789,0.109657578,0.003386689,4662.013014,574.273364,389.3079455,325.7407648,1791.941096,481.6685196,10189.15177,1989.873715,157.2054204,166.7068298,2053.804775,325.5750574
4,812.205199,810.2059176,0.0012374,0.001227256,0.1249845,0.003143322,11538.97156,1144.368623,770.5762766,603.0601662,3718.925227,1300.100892,22401.65793,3870.666402,346.0208046,359.8987477,4324.078521,602.6993438
8,2.424740733,2.483684033,8.04E-04,9.57E-04,0.125557367,0.003600622,30888.5467,2111.17645,3718.523125,2457.646258,10201.85907,3034.987524,58617.4621,17597.03672,1153.256784,836.4715878,9379.182927,1514.9357
16,3202.888723,3181.047415,0.001178889,0.001193556,0.525543111,0.005748667,101645.0687,4611.753336,10827.42905,7253.495976,30132.36224,6904.127887,134882.9608,61908.15984,1879.686403,2708.445952,27803.52929,3057.80122
